timestamp,heart_rate,steps,sleep_duration
2023-01-01 00:00:00,62.483570765056164,48,5.006196878831878
2023-01-01 00:01:00,59.35231158699154,56,8.252283059022226
2023-01-01 00:02:00,63.325708045487204,46,5.212633209810985
2023-01-01 00:03:00,67.74604523775356,55,6.0519537010861555
2023-01-01 00:04:00,59.003757190756154,42,8.612247780649106
2023-01-01 00:05:00,59.04746406559971,49,8.328625069578917
2023-01-01 00:06:00,68.15783356061569,56,5.366644560230828
2023-01-01 00:07:00,64.14255877786277,41,8.300273705395385
2023-01-01 00:08:00,58.00162303735025,51,9.652874447878913
2023-01-01 00:09:00,63.10539837552051,49,5.372512345090915
2023-01-01 00:10:00,58.11910540959105,45,7.078441138383181
2023-01-01 00:11:00,58.15113251736216,48,8.647169450570708
2023-01-01 00:12:00,61.73317092025961,58,8.338615015889566
2023-01-01 00:13:00,51.00052665234478,54,6.132552712347492
2023-01-01 00:14:00,51.9858962327834,51,5.815336387483532
2023-01-01 00:15:00,57.84259364609657,54,8.921235020204659
2023-01-01 00:16:00,55.633409135769135,57,9.781223276193984
2023-01-01 00:17:00,62.31232156493036,44,8.837917337714146
2023-01-01 00:18:00,56.244470579672395,50,9.81602241098875
2023-01-01 00:19:00,53.766563568445584,45,8.024977120685215
2023-01-01 00:20:00,68.19980127208436,46,9.645494303459586
2023-01-01 00:21:00,59.78613468420135,48,8.452178472724434
2023-01-01 00:22:00,61.29609854864186,41,9.544423751005432
2023-01-01 00:23:00,53.87813968505348,41,5.807944839847954
2023-01-01 00:24:00,58.32337101005062,63,9.077826078719745
2023-01-01 00:25:00,61.64328169706898,56,5.983729004767262
2023-01-01 00:26:00,55.37706425056756,47,5.137145509729787
2023-01-01 00:27:00,63.05386406630674,47,7.587930670214815
2023-01-01 00:28:00,58.21549998445745,47,6.591258902809222
2023-01-01 00:29:00,59.80352094239191,46,5.217656808940089
2023-01-01 00:30:00,58.29672886105353,62,9.901521893640798
2023-01-01 00:31:00,70.60990022528192,43,8.332330477449965
2023-01-01 00:32:00,61.324244885910986,59,9.509060866077993
2023-01-01 00:33:00,56.14637157513229,49,9.995412929359741
2023-01-01 00:34:00,65.59081867181206,49,6.959833683355461
2023-01-01 00:35:00,55.41701561204406,38,6.273685143670576
2023-01-01 00:36:00,62.60866262542609,44,5.919421963434144
2023-01-01 00:37:00,51.809075036639385,60,7.575935538956713
2023-01-01 00:38:00,55.009545814114624,46,8.030403887510786
2023-01-01 00:39:00,62.677801217835864,57,7.362113680162624
2023-01-01 00:40:00,65.42881467664635,49,6.936260074228412
2023-01-01 00:41:00,62.63627686068827,50,5.841362817295642
2023-01-01 00:42:00,61.244113842980276,50,7.20929811905312
2023-01-01 00:43:00,60.3597218821409,47,5.4262156853953245
2023-01-01 00:44:00,54.51548000192831,52,9.32523879443796
2023-01-01 00:45:00,58.35168217818774,47,5.234513260489797
2023-01-01 00:46:00,59.69048548937303,68,6.903230308657774
2023-01-01 00:47:00,67.32202864249635,53,5.500689345214843
2023-01-01 00:48:00,63.7972083560199,51,8.874902497335391
